Ticker,Price,Target Price,Upside,Earnings Warning,News Sentiment,News Summary,Market Cap,P/E,Forward P/E,PEG,EPS Growth (Next 5Y),Revenue,Operating Income,Basic EPS
LLY,1043.7550048828125,,,No,,,990.34B,45.63,25.35,0.96,26.53%,,,7.41437
MA,524.5900268554688,,,No,,,466.54B,31.65,23.10,1.47,15.68%,,,4.53
META,650.0499877929688,,,No,,,1642.95B,27.65,18.83,0.97,19.49%,59893000000.0,24745000000.0,9.02
MRVL,79.68499755859375,,,No,,,67.40B,27.85,22.66,0.51,44.77%,2074500000.0,367400000.0,2.22
MU,413.889892578125,,,No,,,463.14B,39.12,9.04,0.11,79.01%,13643000000.0,6136000000.0,4.66
NVDA,183.9499969482422,,,No,,,4468.04B,45.54,23.74,0.48,49.53%,57006000000.0,36010000000.0,1.31
PINS,15.074999809265137,,,No,,,10.17B,5.22,7.44,0.54,13.69%,1049205000.0,58516000.0,0.14
V,318.45001220703125,,,No,,,604.05B,30.03,21.79,1.73,12.56%,10901000000.0,7445000000.0,3.03
WDC,285.8800048828125,,,YES,,,96.80B,28.66,21.93,0.44,50.03%,3017000000.0,963000000.0,5.27
TOST,27.235000610351562,,,No,,,15.96B,50.16,17.36,0.82,21.24%,1633000000.0,84000000.0,0.18
NFLX,76.55000305175781,,,No,,,322.69B,30.24,20.14,0.95,21.12%,12050762000.0,2956663000.0,0.57
MARA,7.855000019073486,,,No,,,2.96B,4.34,-,-,-,252410000.0,-156322000.0,0.33
BYD,82.41500091552734,,,No,,,6.45B,3.63,10.13,1.04,9.73%,,,1.79
WMT,133.875,,,YES,,,1068.40B,47.02,45.19,4.61,9.81%,179496000000.0,6696000000.0,0.77
